# valid (M,A0) pairs with |M|,|A0| <= 6 (ntok=4 check): 1288
PAIR bbaab babaab len 5 6 ntok5 1 ntok6 1
PAIR bbaab aaabab len 5 6 ntok5 1 ntok6 1
PAIR bbaab aaaabb len 5 6 ntok5 1 ntok6 1
PAIR bbaab baaabb len 5 6 ntok5 1 ntok6 1
PAIR bbaab aaabbb len 5 6 ntok5 1 ntok6 1
PAIR aabab aabb len 5 4 ntok5 1 ntok6 1
PAIR aabab aabba len 5 5 ntok5 1 ntok6 1
PAIR aabab aaaab len 5 5 ntok5 1 ntok6 1
PAIR aabab aaabb len 5 5 ntok5 1 ntok6 1
PAIR aabab baabb len 5 5 ntok5 1 ntok6 1
PAIR aabab aabbb len 5 5 ntok5 1 ntok6 1
PAIR aabab aaabba len 5 6 ntok5 1 ntok6 1
PAIR aabab baabba len 5 6 ntok5 1 ntok6 1
PAIR aabab aabbba len 5 6 ntok5 1 ntok6 1
PAIR aabab aaaaab len 5 6 ntok5 1 ntok6 1
PAIR aabab baaaab len 5 6 ntok5 1 ntok6 1
PAIR aabab aabbab len 5 6 ntok5 1 ntok6 1
PAIR aabab aaaabb len 5 6 ntok5 1 ntok6 1
PAIR aabab baaabb len 5 6 ntok5 1 ntok6 1
PAIR aabab abaabb len 5 6 ntok5 1 ntok6 1
PAIR aabab bbaabb len 5 6 ntok5 1 ntok6 1
PAIR aabab aaabbb len 5 6 ntok5 1 ntok6 1
PAIR aabab baabbb len 5 6 ntok5 1 ntok6 1
PAIR aabab aabbbb len 5 6 ntok5 1 ntok6 1
PAIR aaabb aaba len 5 4 ntok5 1 ntok6 1
PAIR aaabb baab len 5 4 ntok5 1 ntok6 1
PAIR aaabb aaaba len 5 5 ntok5 1 ntok6 1
PAIR aaabb baaba len 5 5 ntok5 1 ntok6 1
PAIR aaabb bbaab len 5 5 ntok5 1 ntok6 1
PAIR aaabb aabab len 5 5 ntok5 1 ntok6 1
PAIR aaabb baabb len 5 5 ntok5 1 ntok6 1
PAIR aaabb aaabaa len 5 6 ntok5 1 ntok6 1
PAIR aaabb aaaaba len 5 6 ntok5 1 ntok6 1
PAIR aaabb baaaba len 5 6 ntok5 1 ntok6 1
PAIR aaabb bbaaba len 5 6 ntok5 1 ntok6 1
PAIR aaabb aababa len 5 6 ntok5 1 ntok6 1
PAIR aaabb abbaba len 5 6 ntok5 1 ntok6 1
PAIR aaabb baabba len 5 6 ntok5 1 ntok6 1
PAIR aaabb babaab len 5 6 ntok5 1 ntok6 1
PAIR aaabb bbbaab len 5 6 ntok5 1 ntok6 1
PAIR aaabb aaabab len 5 6 ntok5 1 ntok6 1
PAIR aaabb baabab len 5 6 ntok5 1 ntok6 1
PAIR aaabb abaabb len 5 6 ntok5 1 ntok6 1
PAIR aaabb bbaabb len 5 6 ntok5 1 ntok6 1
PAIR aaabb aababb len 5 6 ntok5 1 ntok6 1
PAIR aaabb baabbb len 5 6 ntok5 1 ntok6 1
PAIR baabb baaa len 5 4 ntok5 1 ntok6 1
PAIR baabb aaba len 5 4 ntok5 1 ntok6 1
PAIR baabb aaab len 5 4 ntok5 1 ntok6 1
PAIR baabb baaaa len 5 5 ntok5 1 ntok6 1
PAIR baabb abaaa len 5 5 ntok5 1 ntok6 1
PAIR baabb bbaaa len 5 5 ntok5 1 ntok6 1
PAIR baabb aaaba len 5 5 ntok5 1 ntok6 1
PAIR baabb baaba len 5 5 ntok5 1 ntok6 1
PAIR baabb babba len 5 5 ntok5 1 ntok6 1
PAIR baabb aaaab len 5 5 ntok5 1 ntok6 1
PAIR baabb baaab len 5 5 ntok5 1 ntok6 1
PAIR baabb aabab len 5 5 ntok5 1 ntok6 1
PAIR baabb aaabb len 5 5 ntok5 1 ntok6 1
PAIR baabb baaaaa len 5 6 ntok5 1 ntok6 1
PAIR baabb abaaaa len 5 6 ntok5 1 ntok6 1
PAIR baabb bbaaaa len 5 6 ntok5 1 ntok6 1
PAIR baabb babaaa len 5 6 ntok5 1 ntok6 1
PAIR baabb bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR baabb aaaaba len 5 6 ntok5 1 ntok6 1
PAIR baabb baaaba len 5 6 ntok5 1 ntok6 1
PAIR baabb bbaaba len 5 6 ntok5 1 ntok6 1
PAIR baabb aababa len 5 6 ntok5 1 ntok6 1
PAIR baabb aaabba len 5 6 ntok5 1 ntok6 1
PAIR baabb aaaaab len 5 6 ntok5 1 ntok6 1
PAIR baabb baaaab len 5 6 ntok5 1 ntok6 1
PAIR baabb abaaab len 5 6 ntok5 1 ntok6 1
PAIR baabb bbaaab len 5 6 ntok5 1 ntok6 1
PAIR baabb aaabab len 5 6 ntok5 1 ntok6 1
PAIR baabb baabab len 5 6 ntok5 1 ntok6 1
PAIR baabb aaaabb len 5 6 ntok5 1 ntok6 1
PAIR baabb baaabb len 5 6 ntok5 1 ntok6 1
PAIR baabb aababb len 5 6 ntok5 1 ntok6 1
PAIR baabb aaabbb len 5 6 ntok5 1 ntok6 1
PAIR aabbb aaba len 5 4 ntok5 1 ntok6 1
PAIR aabbb aaaba len 5 5 ntok5 1 ntok6 1
PAIR aabbb baaba len 5 5 ntok5 1 ntok6 1
PAIR aabbb aabba len 5 5 ntok5 1 ntok6 1
PAIR aabbb aabab len 5 5 ntok5 1 ntok6 1
PAIR aabbb aaaaba len 5 6 ntok5 1 ntok6 1
PAIR aabbb baaaba len 5 6 ntok5 1 ntok6 1
PAIR aabbb bbaaba len 5 6 ntok5 1 ntok6 1
PAIR aabbb aababa len 5 6 ntok5 1 ntok6 1
PAIR aabbb abbaba len 5 6 ntok5 1 ntok6 1
PAIR aabbb aaabba len 5 6 ntok5 1 ntok6 1
PAIR aabbb baabba len 5 6 ntok5 1 ntok6 1
PAIR aabbb aaabab len 5 6 ntok5 1 ntok6 1
PAIR aabbb baabab len 5 6 ntok5 1 ntok6 1
PAIR aabbb aabbab len 5 6 ntok5 1 ntok6 1
PAIR aabbb aababb len 5 6 ntok5 1 ntok6 1
PAIR baaaaa baab len 6 4 ntok5 1 ntok6 1
PAIR baaaaa abbaa len 6 5 ntok5 1 ntok6 1
PAIR baaaaa baaba len 6 5 ntok5 1 ntok6 1
PAIR baaaaa babba len 6 5 ntok5 1 ntok6 1
PAIR baaaaa baaab len 6 5 ntok5 1 ntok6 1
PAIR baaaaa bbaab len 6 5 ntok5 1 ntok6 1
PAIR baaaaa baabb len 6 5 ntok5 1 ntok6 1
PAIR baaaaa abbaaa len 6 6 ntok5 1 ntok6 1
PAIR baaaaa babbaa len 6 6 ntok5 1 ntok6 1
PAIR baaaaa baaaba len 6 6 ntok5 1 ntok6 1
PAIR baaaaa bbaaba len 6 6 ntok5 1 ntok6 1
PAIR baaaaa abbaba len 6 6 ntok5 1 ntok6 1
PAIR baaaaa baabba len 6 6 ntok5 1 ntok6 1
PAIR baaaaa baaaab len 6 6 ntok5 1 ntok6 1
PAIR baaaaa abaaab len 6 6 ntok5 1 ntok6 1
PAIR baaaaa bbaaab len 6 6 ntok5 1 ntok6 1
PAIR baaaaa babaab len 6 6 ntok5 1 ntok6 1
PAIR baaaaa bbbaab len 6 6 ntok5 1 ntok6 1
PAIR baaaaa baabab len 6 6 ntok5 1 ntok6 1
PAIR baaaaa aabbab len 6 6 ntok5 1 ntok6 1
PAIR baaaaa baaabb len 6 6 ntok5 1 ntok6 1
PAIR baaaaa abaabb len 6 6 ntok5 1 ntok6 1
